drug_item_id,current_generic_name,current_brand_name,current_aliases,current_nhi_drug_code,proposed_nhi_drug_code,proposed_source,proposed_confidence,official_drug_name_zh,official_drug_name_en,official_ingredient,source_photos,occurrence_count,dry_run_status,reason,would_update_fields
7,CARDITONIN S.C. TABLETS,CARDITONIN S.C. TABLETS 心康寧,,,AC198951G0,prescription_ocr,high,"""榮民""心康寧糖衣錠25毫克(待匹力達)","CARDITONIN S.C. TABLETS 25MG (DIPYRIDAMOLE) ""VPP""",DIPYRIDAMOLE 25 MG,IMG_7367.JPG,1,ready_to_apply,single strong_match candidate and current nhi_drug_code is NULL,"nhi_drug_code,nhi_drug_code_source,nhi_drug_code_confidence,nhi_drug_code_verified_at,nhi_drug_code_note"
33,Allopurinol,Synorid 欣律,,,AC40106100,prescription_ocr,high,欣律錠100毫克,SYNORID TABLETS 100MG,ALLOPURINOL 100 MG,IMG_7285.JPG; IMG_7564.jpeg,4,ready_to_apply,single strong_match candidate and current nhi_drug_code is NULL,"nhi_drug_code,nhi_drug_code_source,nhi_drug_code_confidence,nhi_drug_code_verified_at,nhi_drug_code_note"
117,Pentoxifylline,Fylin 暢循,,,AC414881G0,prescription_ocr,high,"""正和""暢循持續性膜衣錠400毫克（配妥西菲林）","FYLIN RETARD F.C. TABLETS 400MG ""C.H.""(PENTOXIFYLLINE)",PENTOXIFYLLINE 400 MG,IMG_7367.JPG; IMG_7562.JPG,4,ready_to_apply,single strong_match candidate and current nhi_drug_code is NULL,"nhi_drug_code,nhi_drug_code_source,nhi_drug_code_confidence,nhi_drug_code_verified_at,nhi_drug_code_note"
61,Atorvastatin,Atorva 立舒脂(立脂妥),,,AC57805100,prescription_ocr,high,"""生達"" 立舒脂膜衣錠20毫克","ATORVA F.C. TAB. 20MG ""STANDARD"" (ATORVASTATIN)",ATORVASTATIN (CALCIUM) 20 MG,IMG_7282.jpeg; IMG_7284.JPG; IMG_7364.jpeg; IMG_7396.JPG; IMG_7624.jpeg; IMG_7627.JPG; IMG_7660.JPG; IMG_7670.JPG; IMG_7721.jpeg,15,ready_to_apply,single strong_match candidate and current nhi_drug_code is NULL,"nhi_drug_code,nhi_drug_code_source,nhi_drug_code_confidence,nhi_drug_code_verified_at,nhi_drug_code_note"
46,Rosuvastatin,Rosustin 優脂定,,,AC58316100,prescription_ocr,high,優脂定膜衣錠5毫克,ROSUSTIN FILM COATED TABLETS 5MG,ROSUVASTATIN CALCIUM 5 MG,IMG_7464.jpeg,2,ready_to_apply,single strong_match candidate and current nhi_drug_code is NULL,"nhi_drug_code,nhi_drug_code_source,nhi_drug_code_confidence,nhi_drug_code_verified_at,nhi_drug_code_note"
87,Metformin,Metformin 寬樂醣,,,AC58534100,prescription_ocr,high,寬樂醣膜衣錠500毫克,"METFORMIN F.C. TABLETS 500MG ""CYH""",METFORMIN HCL 500 MG,IMG_7462.JPG; IMG_7670.JPG,4,keep_for_mapping_table_review,不作為 drug_items 主碼；使用者確認主碼為 AC585341G0，本碼後續保留到 drug_item_official_code_mappings review。,
87,Metformin,Metformin 寬樂醣,,,AC585341G0,prescription_ocr,high,寬樂醣膜衣錠500毫克,"METFORMIN F.C. TABLETS 500MG ""CYH""",METFORMIN HCL 500 MG,IMG_7285.JPG; IMG_7364.jpeg; IMG_7721.jpeg,6,ready_to_apply,使用者確認「寬樂醣膜衣錠500毫克」主健保碼為 AC585341G0；此碼已可對官方 NHI staging；AC58534100 不作為 drug_items 主碼，後續保留到 mapping table review。,"nhi_drug_code,nhi_drug_code_source,nhi_drug_code_confidence,nhi_drug_code_verified_at,nhi_drug_code_note"
43,VALSARTAN 160 MGAMLODIPINE BES,EXFOPINE 安普新,,,AC59821100,prescription_ocr,high,安普新膜衣錠5/160毫克,EXFOPINE FILM-COATED TABLET 5/160MG,VALSARTAN 160 MG+AMLODIPINE BESYLATE 5 MG,IMG_7462.JPG,2,ready_to_apply,single strong_match candidate and current nhi_drug_code is NULL,"nhi_drug_code,nhi_drug_code_source,nhi_drug_code_confidence,nhi_drug_code_verified_at,nhi_drug_code_note"
5,GLIMEPIRIDE 2MG + METFORMIN 50,Temilg F.C.  甜蜜克,,,AC60134100,prescription_ocr,high,甜蜜克膜衣錠2/500毫克,TEMILG F.C. TABLETS 2/500MG,GLIMEPIRIDE 2 MG+METFORMIN HCL 500 MG,IMG_7391.jpeg; IMG_7462.JPG; IMG_7564.jpeg; IMG_7656.JPG,10,ready_to_apply,single strong_match candidate and current nhi_drug_code is NULL,"nhi_drug_code,nhi_drug_code_source,nhi_drug_code_confidence,nhi_drug_code_verified_at,nhi_drug_code_note"
12,Febuxostat,Fekuton/Fburic 服克痛,,,AC61850100,prescription_ocr,high,服克痛膜衣錠80毫克,FEKUTON FILM COATED TABLETS 80MG,FEBUXOSTAT 80 MG,IMG_7282.jpeg; IMG_7367.JPG; IMG_7394.jpeg; IMG_7396.JPG; IMG_7624.jpeg,7,ready_to_apply,single strong_match candidate and current nhi_drug_code is NULL,"nhi_drug_code,nhi_drug_code_source,nhi_drug_code_confidence,nhi_drug_code_verified_at,nhi_drug_code_note"
17,Glimepiride2mg+Meformin500mg,Amaryl-M 美爾胰,,,BA24876100,prescription_ocr,high,美爾胰膜衣錠 2/500 毫克,AMARYL M FILM-COATED TABLETS 2/500MG,GLIMEPIRIDE 2 MG+METFORMIN HCL 500 MG,IMG_7509.JPG,1,ready_to_apply,single strong_match candidate and current nhi_drug_code is NULL,"nhi_drug_code,nhi_drug_code_source,nhi_drug_code_confidence,nhi_drug_code_verified_at,nhi_drug_code_note"
1,Bisoprolol,Concor 康肯,,,BC171251G0,prescription_ocr,high,康肯５毫克,CONCOR 5,BISOPROLOL FUMARATE 5 MG,IMG_7284.JPG; IMG_7394.jpeg; IMG_7396.JPG,3,ready_to_apply,single strong_match candidate and current nhi_drug_code is NULL,"nhi_drug_code,nhi_drug_code_source,nhi_drug_code_confidence,nhi_drug_code_verified_at,nhi_drug_code_note"
19,Zolpidem,Stilnox10mg 使蒂諾斯(管制藥),,,BC215311G0,prescription_ocr,high,使蒂諾斯膜衣錠１０毫克,STILNOX FILM-COATED SCORED TABLETS 10MG,ZOLPIDEM TARTRATE 10 MG,IMG_7396.JPG,1,ready_to_apply,single strong_match candidate and current nhi_drug_code is NULL,"nhi_drug_code,nhi_drug_code_source,nhi_drug_code_confidence,nhi_drug_code_verified_at,nhi_drug_code_note"
21,Amlodipine,Norvasc 脈優,,,BC21571100,prescription_ocr,high,脈優錠５毫克,NORVASC TABLETS 5MG,AMLODIPINE (BESYLATE) 5 MG,IMG_7202.JPG; IMG_7285.JPG; IMG_7394.jpeg; IMG_7396.JPG; IMG_7464.jpeg; IMG_7624.jpeg; IMG_7627.JPG; IMG_7655.JPG; IMG_7721.jpeg,15,ready_to_apply,single strong_match candidate and current nhi_drug_code is NULL,"nhi_drug_code,nhi_drug_code_source,nhi_drug_code_confidence,nhi_drug_code_verified_at,nhi_drug_code_note"
24,Atorvastatin,Lipitor 立普妥,,,BC22889100,prescription_ocr,high,立普妥 膜衣錠４０毫克,LIPITOR FILM-COATED TABLETS 40MG,ATORVASTATIN (CALCIUM) 40 MG,IMG_7202.JPG; IMG_7509.JPG,4,ready_to_apply,single strong_match candidate and current nhi_drug_code is NULL,"nhi_drug_code,nhi_drug_code_source,nhi_drug_code_confidence,nhi_drug_code_verified_at,nhi_drug_code_note"
69,Rosuvastatin,Crestor 冠脂妥(阿斯),,,BC24131100,prescription_ocr,high,冠脂妥膜衣錠10毫克,CRESTOR 10MG FILM-COATED TABLETS,ROSUVASTATIN CALCIUM 10 MG,IMG_7285.JPG; IMG_7391.jpeg; IMG_7564.jpeg,5,ready_to_apply,single strong_match candidate and current nhi_drug_code is NULL,"nhi_drug_code,nhi_drug_code_source,nhi_drug_code_confidence,nhi_drug_code_verified_at,nhi_drug_code_note"
18,Tamsulosin,Harnalidge D 活路利淨,,,BC24403100,prescription_ocr,high,活路利淨D 持續釋放口溶錠0.2毫克,HARNALIDGE D TABLETS 0.2MG,TAMSULOSIN HCL .2 MG,IMG_7290.jpeg,1,ready_to_apply,single strong_match candidate and current nhi_drug_code is NULL,"nhi_drug_code,nhi_drug_code_source,nhi_drug_code_confidence,nhi_drug_code_verified_at,nhi_drug_code_note"
67,Olmesartan,Olmetec 雅脈,,,BC25005100,prescription_ocr,high,德國第一三共雅脈 膜衣錠 40 毫克,OLMETEC FILM COATED TABLETS 40MG,OLMESARTAN MEDOXOMIL 40 MG,IMG_7510.jpeg,2,ready_to_apply,single strong_match candidate and current nhi_drug_code is NULL,"nhi_drug_code,nhi_drug_code_source,nhi_drug_code_confidence,nhi_drug_code_verified_at,nhi_drug_code_note"
75,Telmisartan,MICARDIS 必康平,,,BC25446100,prescription_ocr,high,倍必康平錠80/5毫克,TWYNSTA TABLETS 80/5MG,TELMISARTAN 80 MG+AMLODIPINE (BESYLATE) 5 MG,IMG_7203.jpeg,1,ready_to_apply,single strong_match candidate and current nhi_drug_code is NULL,"nhi_drug_code,nhi_drug_code_source,nhi_drug_code_confidence,nhi_drug_code_verified_at,nhi_drug_code_note"
78,Linagliptin,TRAJENTA 糖漸平,,,BC25537100,prescription_ocr,high,糖漸平膜衣錠 5毫克,TRAJENTA 5MG FILM-COATED TABLETS,LINAGLIPTIN 5 MG,IMG_7202.JPG,1,ready_to_apply,single strong_match candidate and current nhi_drug_code is NULL,"nhi_drug_code,nhi_drug_code_source,nhi_drug_code_confidence,nhi_drug_code_verified_at,nhi_drug_code_note"
81,Saxagliptin5mg+Dapagliflozin10,Qtern 5mg/10mg 控糖穩,,,BC27467100,prescription_ocr,high,控糖穩膜衣錠5毫克/10毫克,QTERN 5MG/10MG FILM-COATED TABLETS,DAPAGLIFLOZIN 10 MG+SAXAGLIPTIN 5 MG,IMG_7509.JPG,1,ready_to_apply,single strong_match candidate and current nhi_drug_code is NULL,"nhi_drug_code,nhi_drug_code_source,nhi_drug_code_confidence,nhi_drug_code_verified_at,nhi_drug_code_note"
129,Insulin degludec,Tresiba FlexTouch 諾胰保諾特筆,,,KC01053216,prescription_ocr,high,諾胰得 諾特筆,RYZODEG? FLEXTOUCH?,INSULIN DEGLUDEC 70 U/ML (UNIT+INSULIN ASPART 30 U/ML (UNIT/ML),IMG_7509.JPG; IMG_7510.jpeg,2,ready_to_apply,single strong_match candidate and current nhi_drug_code is NULL,"nhi_drug_code,nhi_drug_code_source,nhi_drug_code_confidence,nhi_drug_code_verified_at,nhi_drug_code_note"
